ID,FULLNAME,POS,AGE,GP,MPG,MINPER,USG,TOr,FTA,FTPER,2PA,2PPER,THRPA,THRPER,PPG,POINTS,RPG,APG,SPG,BPG,TOPG,TEAM,TRUE,Height,Weight,ORTG,DRTG
157,Erik McCree,PF,25,5,14.1,29.3,17.5,0.242,,,,,,,4,20,4.4,1.6,1,0.2,1.4,Pho,45.53734062,80,225,,
158,Ersan Ilyasova,PF,30,69,25.1,52.29166667,18.7,0.096333333,135,0.777666667,360,0.516233333,253,0.359656126,10.86666667,749.8000002,5.9,1.3,0.886666667,0.39,1.04,Phi,55.75550269,82,235,113.1,104.9
159,E'Twaun Moore,SG,28,82,31.5,65.7,16.1,0.106,68,0.706,531,0.556,301,0.425,12.5,1025,2.9,2.3,0.94,0.13,1.24,Nor,59.46027474,76,191,111.6,107
160,Evan Fournier,SG,25,57,32.2,67.1,23.3,0.098,173,0.867,467,0.516,335,0.379,17.8,1014.6,3.2,2.9,0.82,0.28,1.67,Orl,57.77114745,79,205,110.2,107.9
161,Evan Turner,SG,29,79,25.7,53.6,15.6,0.137,107,0.85,445,0.485,132,0.318,8.2,647.8,3.1,2.2,0.59,0.37,1.25,Por,51.90039738,79,220,102.9,102.7
162,Frank Kaminsky,C,24,79,23.2,48.4,20.5,0.076,194,0.799,442,0.459,274,0.38,11.1,876.9,3.6,1.6,0.46,0.25,0.84,Cha,54.7132375,84,242,110.6,106.3
163,Frank Mason,PG,23,52,18.9,39.4,22.6,0.131,115,0.817,294,0.384,86,0.36,7.9,410.8,2.5,2.8,0.65,0.19,1.25,Sac,47.70088249,71,190,100.2,108.1
164,Frank Ntilikina,PG,19,78,21.9,45.6,16.9,0.198,68,0.721,343,0.385,157,0.318,5.9,460.2,2.3,3.2,0.85,0.23,1.68,Nyk,43.42164855,77,190,89.2,104.2
165,Fred VanVleet,PG,23,76,20,41.7,19.1,0.112,101,0.832,284,0.437,261,0.414,8.6,653.6,2.4,3.2,0.89,0.25,0.97,Tor,55.44245385,72,195,115.5,101.2
166,Furkan Korkmaz,PF,22,20,11.2,23.4,15.6,0.049,,,,,58,0.31,4.1,82,1.9,0.6,0.1,0.1,0.2,Pho,52.29591837,79,190,86,94.5
167,Garrett Temple,SG,31,65,24.8,51.8,16.4,0.134,78,0.769,249,0.442,227,0.392,8.4,546,2.3,1.9,0.88,0.42,1.22,Sac,53.49584574,78,195,102.1,107.4
168,Gary Harris,SG,23,67,34.4,71.7,20.7,0.108,162,0.827,514,0.553,394,0.396,17.5,1172.5,2.6,2.9,1.82,0.22,1.78,Den,59.86541132,76,210,114.5,109.3
