ID,FULLNAME,POS,AGE,GP,MPG,MINPER,USG,TOr,FTA,FTPER,2PA,2PPER,THRPA,THRPER,PPG,POINTS,RPG,APG,SPG,BPG,TOPG,TEAM,TRUE,Height,Weight,ORTG,DRTG
265,Jonathon Simmons,SG,28,69,29.4,61.3,22,0.144,241,0.768,557,0.512,204,0.338,13.9,959.1,3.5,2.5,0.84,0.23,2.12,Orl,55.30886695,78,195,103.3,106.4
266,Jordan Bell,PF,23,57,14.2,29.6,13.9,0.2,44,0.682,181,0.641,,,4.6,262.2,3.6,1.8,0.61,0.98,0.89,Gol,64.15149736,81,224,121.8,98.2
267,Jordan Clarkson,SG,25,81,23.31975309,48.58281893,26.45555556,0.107012346,190,0.799578947,636,0.499652516,318,0.352188679,13.84320988,1121.3,2.654320988,2.74691358,0.719259259,0.077283951,1.554938272,Cle,54.0333462,77,194,105.5,107.7
268,Jordan Crawford,SG,27,14,19.7,41.1,13.1,0.208,,,,,,,4.4,61.6,2.9,1.2,0.64,0.29,1.21,Cle,47.67801858,77,195,115.9,102.1
269,Jordan Mickey,SG,23,13,8.8,18.3,15.5,0.201,,,,,,,3,39,1.5,0.6,0.23,0.08,0.62,Bos,61.47540984,80,235,96.2,94.5
270,Jose Calderon,PG,36,57,16,33.4,11.6,0.171,30,0.8,88,0.545,97,0.464,4.5,256.5,1.5,2.1,0.47,0.04,0.72,Cle,64.7073663,75,200,122.4,106.8
271,Josh Gray,F,26,7,12.5,26,19.7,0.078,,,,,,,5.7,39.9,4.3,0.9,0.14,0,0.43,Sac,56.41968326,73,180,76.6,104
272,Josh Hart,SG,22,63,23.2,48.3,13.5,0.101,94,0.702,178,0.551,197,0.396,7.9,497.7,4.2,1.3,0.73,0.25,0.75,Lal,59.76798924,77,215,116.2,103.6
273,Josh Huestis,PG,28,3,2,4.2,21,0.333,,,,,,,0.7,2.1,0,0,0,0,0.33,Phi,52.5,79,230,90.3,103.5
274,Josh Jackson,SF,20,77,25.4,53,26,0.122,279,0.634,715,0.464,217,0.263,13.1,1008.7,4.6,1.5,1.04,0.45,1.9,Pho,47.81656491,80,200,93.5,104.1
275,Josh Magette,SF,23,5,6.7,13.9,6.3,0,,,,,,,0.8,4,2.2,0.4,0.2,0,0,Bro,40.98360656,73,160,116.2,107.5
276,Josh McRoberts,SF,23,34,4.7,9.8,14.6,0.094,,,,,,,1,34,0.5,0.3,0.18,0.12,0.15,Por,35.18211921,82,240,,
277,Josh Richardson,SG,24,81,33.2,69.2,18.1,0.129,142,0.845,549,0.495,336,0.378,12.9,1044.9,3.5,2.8,1.49,0.91,1.73,Mia,55.14100561,78,200,106.6,103.1
278,Josh Smith,SF,24,16,11.325,23.59375,19.225,0.0765,,,,,,,4.675,74.8,2.375,0.225,0.315,0.06,0.5025,Dal,49.62845011,81,225,,
279,JR Smith,SG,32,80,28.1,58.4,13.8,0.116,56,0.696,214,0.453,381,0.375,8.3,664,2.9,1.8,0.85,0.14,1.01,Cle,53.57949777,78,225,103.1,108.1
280,Jrue Holiday,PG,27,81,36.1,75.3,23.1,0.137,238,0.786,887,0.558,356,0.337,19,1539,4.5,6,1.52,0.79,2.64,Nor,57.09642953,76,205,110.1,105.5
281,Juancho Hernangomez,PF,24,3,8.9,18.6,25.8,0.066,,,,,,,5.7,17.1,3,0,0,0,0.33,Dal,60.21126761,81,230,108.7,105.2
282,Julius Randle,PF,23,82,26.7,55.7,25.3,0.163,425,0.718,859,0.575,45,0.222,16.1,1320.2,8,2.6,0.52,0.55,2.6,Lal,60.50412466,81,250,112,97.1
283,Julyan Stone,PF,25,3,6,12.5,21.1,0.113,,,,,,,2.7,8.1,0.7,0,0,0.33,0.33,Phi,51.39593909,78,200,123.1,98.4
284,Justin Anderson,SF,24,38,13.7,28.4,19.3,0.068,38,0.737,99,0.535,103,0.33,6.2,235.6,2.4,0.7,0.39,0.21,0.42,Phi,53.85881492,78,230,110.3,98.9
285,Justin Holiday,SG,28,72,31.5,65.5,18.2,0.098,164,0.823,333,0.387,449,0.359,12.2,878.4,4,2.1,1.11,0.43,1.29,Chi,51.4189379,78,185,100.8,108.3
286,Justin Jackson,SF,22,68,22.2,46.1,14.2,0.084,36,0.722,234,0.547,185,0.308,6.7,455.6,2.8,1.1,0.41,0.19,0.59,Sac,52.3870849,80,210,103.8,111.4
287,Justin Patton,SF,24,10,12,25,10.1,0.143,,,,,,,1.6,16,2.4,0.4,0.1,0,0.4,Bro,33.33333333,84,236,,
288,Justise Winslow,SF,21,68,24.7,51.5,16.3,0.126,104,0.635,359,0.44,129,0.38,7.8,530.4,5.4,2.2,0.79,0.49,1.13,Mia,49.6852518,79,225,101.6,100
289,Jusuf Nurkic,C,23,79,26.4,55.1,26.4,0.146,273,0.63,944,0.508,,,14.3,1129.7,9,1.8,0.81,1.39,2.32,Por,52.73452088,84,280,102.3,93.9
290,Kadeem Allen,SG,22,6,10.2,21.2,12.3,0.057,,,,,,,2.8,16.8,0.3,0.3,0,0,0.17,Phi,50.48076923,75,200,78.2,94.5
291,Karl-Anthony Towns,C,22,82,35.6,74.1,22.9,0.105,402,0.858,887,0.585,285,0.421,21.3,1746.6,12.4,2.4,0.78,1.41,1.94,Min,64.74260127,84,248,126.8,100.5
292,Kawhi Leonard,SF,26,9,23.3,48.6,30.6,0.111,38,0.816,76,0.539,35,0.314,16.2,145.8,4.7,2.3,2,1,1.78,San,57.07798309,79,230,109.7,99.2
293,Kay Felder,SF,27,15,18.3,38,14.3,0.088,,,,,63,0.429,7,105,2.1,0.7,0.33,0.53,0.53,Lac,63.43644273,69,176,76.8,107.1
294,Kelly Olynyk,C,26,76,23.4,48.8,21.7,0.171,174,0.77,356,0.59,280,0.379,11.5,874,5.7,2.7,0.82,0.46,1.93,Mia,61.32816886,84,245,112.3,94.8
295,Kelly Oubre Jr.,SF,22,81,27.5,57.4,19.4,0.092,233,0.82,421,0.456,369,0.341,11.8,955.8,4.5,1.2,0.99,0.43,1.11,Was,53.5450186,79,205,105.7,100.7
296,Kemba Walker,PG,27,80,34.2,71.2,27.4,0.104,420,0.864,762,0.469,601,0.384,22.1,1768,3.1,5.6,1.14,0.3,2.24,Cha,57.11332213,73,184,114.7,108.2
297,Kendrick Perkins,SG,26,3,2.866666667,5.972222222,10.16666667,0,,,,,,,0,0,0.333333333,0,0.333333333,0,0,Chi,0,82,270,97.2,106.7
298,Kenneth Faried,PF,28,32,14.4,30,18.3,0.119,51,0.706,147,0.517,,,5.9,188.8,4.8,0.6,0.38,0.41,0.72,Den,55.38605961,80,228,115.8,101.2
299,Kent Bazemore,SF,28,65,27.5,57.3,22.5,0.17,201,0.796,402,0.438,274,0.394,12.9,838.5,3.8,3.5,1.54,0.69,2.42,Atl,54.84406886,77,201,101.1,104
300,Kentavious Caldwell-Pope,SG,24,74,33.2,69.2,16.9,0.1,194,0.789,383,0.473,414,0.384,13.4,991.6,5.2,2.2,1.45,0.22,1.32,Lal,56.19021714,77,205,111,104.8
301,Kevin Durant,SF,29,68,34.2,71.2,30.4,0.129,404,0.889,809,0.565,413,0.419,26.4,1795.2,6.8,5.4,0.74,1.75,3.04,Gol,64.12527862,81,240,118.6,105.5
302,Kevin Love,PF,29,59,28,58.3,25.1,0.096,265,0.879,399,0.494,330,0.415,17.6,1038.4,9.3,1.7,0.73,0.41,1.53,Cle,61.40018921,82,251,120,103.5
303,Kevon Looney,PF,21,66,13.8,28.7,12.4,0.121,77,0.545,187,0.594,,,4,264,3.3,0.6,0.5,0.83,0.47,Gol,58.43810873,81,220,121.7,99.4
304,Khem Birch,C,25,42,13.8,28.7,13.2,0.121,61,0.689,126,0.54,,,4.2,176.4,4.3,0.8,0.36,0.5,0.5,Orl,57.70740644,81,220,124.2,102.3
305,Khris Middleton,PF,26,82,36.4,75.8,24.6,0.118,362,0.884,865,0.517,407,0.359,20.1,1648.2,5.2,4,1.45,0.26,2.33,Mil,57.57783243,80,234,110.9,104.2
306,Klay Thompson,SG,27,73,34.3,71.5,23.7,0.095,98,0.837,658,0.526,520,0.44,20,1460,3.8,2.5,0.75,0.48,1.75,Gol,59.78118449,79,215,109.8,109.4
307,Kobi Simmons,SG,40,51,16,33.2,10.1,0.137,,,,,115,0.348,3.3,168.3,0.9,1.2,0.82,0.24,0.49,Mil,53.2729805,76,170,94.4,107.5
308,Kosta Koufos,C,28,71,19.6,40.8,15.2,0.104,74,0.446,389,0.571,,,6.7,475.7,6.6,1.2,0.66,0.45,0.69,Sac,56.42138723,84,265,117.7,100.5
309,Kris Dunn,PG,23,52,29.3,61.1,24.7,0.173,115,0.73,532,0.457,134,0.321,13.4,696.8,4.3,6,2,0.52,2.88,Chi,48.61847614,76,210,95.9,99.4
310,Kristaps Porzingis,PF,22,48,32.4,67.4,31,0.084,275,0.793,661,0.454,228,0.395,22.7,1089.6,6.6,1.2,0.75,2.4,1.94,Nyk,53.94059406,87,240,105.2,104.3
311,Kyle Anderson,SG,24,74,26.7,55.7,13.5,0.158,146,0.712,381,0.556,57,0.333,7.9,584.6,5.4,2.7,1.55,0.82,1.27,San,58.19926728,81,230,114.4,99.8
312,Kyle Collinsworth,PG,26,32,15,31.2,13.3,0.171,40,0.525,82,0.415,,,3.2,102.4,3.3,1.8,0.53,0.28,0.75,Dal,43.91080617,78,210,99.2,101.8
313,Kyle Korver,SG,36,73,21.6,44.9,16,0.096,72,0.889,108,0.537,376,0.436,9.2,671.6,2.3,1.2,0.42,0.37,0.75,Cle,65.11790258,79,212,120.2,107.4
314,Kyle Kuzma,PF,22,77,31.2,65,22.5,0.11,208,0.707,605,0.511,434,0.366,16.1,1239.7,6.3,1.8,0.64,0.44,1.82,Lal,54.82875137,81,220,105,104.6
315,Kyle Lowry,PG,31,78,32.2,67,21.7,0.147,261,0.854,348,0.474,596,0.399,16.2,1263.6,5.6,6.9,1.09,0.24,2.35,Tor,59.66907181,72,205,120.4,101.6
316,Kyle O'Quinn,PF,27,77,18,37.5,17,0.186,127,0.772,366,0.601,,,7.1,546.7,6.1,2.1,0.45,1.27,1.3,Nyk,62.28353992,82,250,117.9,95.9
317,Kyle Singler,G,22,6,16.4,34.2,16.4,0.162,,,,,,,4.7,28.2,2.7,1.2,0.33,0.17,1,Atl,45.48387097,80,228,88.1,104.3
318,Kyrie Irving,PG,25,60,32.2,67.1,31,0.104,261,0.889,680,0.541,407,0.408,24.4,1464,3.8,5.1,1.08,0.28,2.33,Bos,60.90660986,75,193,118.2,101.7
319,LaMarcus Aldridge,PF,32,75,33.4,69.7,29.1,0.068,399,0.837,1255,0.526,92,0.293,23.1,1732.5,8.5,2,0.57,1.2,1.48,San,56.89430958,83,260,117.6,101.7
320,Lance Stephenson,SG,27,82,22.6,47,21.6,0.147,127,0.661,477,0.495,232,0.289,9.2,754.4,5.2,2.9,0.59,0.2,1.61,Ind,49.31492522,78,230,99,100.2
321,Lance Thomas,PF,29,73,18.5,38.6,10.7,0.121,53,0.83,143,0.364,124,0.403,4.1,299.3,2.4,0.6,0.41,0.19,0.55,Nyk,51.5465693,80,235,103.1,105.6
322,Langston Galloway,PG,26,58,14.9,31,19.3,0.048,41,0.805,122,0.418,218,0.344,6.2,359.6,1.6,1,0.6,0.09,0.31,Det,50.21785275,74,200,105.9,106.4
323,Larry Drew II,C,27,9,4.4,9.1,21.8,0.106,,,,,,,1.7,15.3,1.1,0,0,0.33,0.22,Dal,45.31990521,74,180,51,100.8
324,Larry Nance Jr.,PF,25,66,21.5,44.79166667,15.91818182,0.097181818,137,0.664116788,401,0.593112219,,,8.709090909,574.8,6.872727273,1.254545455,1.330909091,0.578181818,0.776363636,Cle,60.72515213,81,230,123.7,95.3
325,Lauri Markkanen,PF,20,68,29.7,61.9,21.9,0.082,166,0.843,461,0.497,401,0.362,15.2,1033.6,7.5,1.2,0.57,0.59,1.22,Chi,55.27036277,84,230,107,108
326,LeBron James,SF,33,82,36.9,76.9,31.6,0.161,531,0.731,1174,0.603,406,0.367,27.5,2255,8.7,9.1,1.41,0.87,4.23,Cle,62.16779515,80,250,118.5,107.5
327,London Perrantes,SF,30,1,5.4,11.3,16.2,0.5,,,,,,,2,2,1,0,0,0,1,Atl,100,74,190,68.1,107.2
328,Lonzo Ball,PG,20,52,34.2,71.3,17.4,0.186,71,0.451,269,0.42,295,0.305,10.2,530.4,6.9,7.2,1.67,0.83,2.62,Lal,44.55345743,78,190,97.4,103
329,Lorenzo Brown,PG,29,1,25.2,52.5,31.1,0.166,,,,,,,18,18,0,4,0,0,3,Bro,59.68169761,77,189,102.5,105.7
330,Lou Williams,SG,31,79,32.8,68.3,29.8,0.131,491,0.88,819,0.484,518,0.359,22.6,1785.4,2.5,5.3,1.08,0.24,2.96,Lac,57.48081183,73,175,112.1,111.3
331,Luc Mbah a Moute,PF,31,61,25.6,53.4,12.8,0.15,95,0.684,172,0.599,173,0.364,7.5,457.5,3,0.9,1.18,0.41,1.11,Hou,59.13908997,80,230,106.9,102.3
332,Lucas Nogueira,C,32,7,5.7,11.9,17.2,0.254,,,,,,,1.7,11.9,2,0.6,0.29,0.29,0.57,Nyk,50.5952381,84,220,123.5,95
333,Luis Montero,PF,24,6,6.3,13.1,12.7,0.188,,,,,,,1.5,9,1.7,0,0.33,0,0.33,Mil,52.08333333,79,200,0,109.8
334,Luke Babbitt,SG,29,24,7.3,15.1,18.4,0.11,,,,,36,0.306,2.3,55.2,1,0.2,0.29,0.08,0.33,Cle,42.64524104,81,225,119.1,106.4
335,Luke Kennard,SG,21,73,20,41.7,17.2,0.122,76,0.855,270,0.463,195,0.415,7.6,554.8,2.4,1.7,0.6,0.18,0.95,Det,55.65363935,77,200,108,105.1
336,Luke Kornet,PF,28,8,17.1,35.5,16.1,0.141,,,,,,,5.4,43.2,4,0.6,0.13,0.38,0.88,Det,50.70422535,85,250,106.3,105.4
337,Luol Deng,PG,30,4,10,20.8,29.1,0.115,,,,,,,8.5,34,0.8,1,0,0,0.75,Bos,73.91304348,81,220,77.1,112.8
338,Malachi Richardson,SG,29,5,10.7,22.2,26.3,0.154,,,,,,,6.6,33,0.8,2.6,0.2,0.2,1,Nor,60.13119534,78,205,91.5,107.4
339,Malcolm Brogdon,SG,25,48,29.9,62.3,19.1,0.109,85,0.882,342,0.532,161,0.385,13,624,3.3,3.2,0.85,0.27,1.38,Mil,57.7350111,77,215,112.6,106.2
340,Malcolm Delaney,PG,28,54,18.8,39.1,16.9,0.169,92,0.804,161,0.391,124,0.371,6.3,340.2,1.9,3,0.65,0.11,1.22,Atl,52.26127565,75,190,104.2,106.5
341,Malcolm Miller,F,24,5,17.3,36,25.9,0.132,,,,,,,6.4,32,2,2.4,1.6,0.4,1.4,Pho,34.90401396,79,210,114.9,104.4
342,Malik Beasley,SG,21,62,9.4,19.6,16.2,0.111,33,0.667,96,0.469,82,0.341,3.2,198.4,1.1,0.5,0.24,0.11,0.39,Den,51.52711407,77,196,101.1,108.9
343,Malik Monk,SG,19,63,13.6,28.2,24.9,0.098,38,0.842,182,0.385,243,0.342,6.7,422.1,1,1.4,0.32,0.14,0.76,Cha,47.7791361,75,200,95.9,105.6
344,Mangok Mathiang,PG,28,18,12,25,11.8,0.154,,,,,,,2.6,46.8,1.1,3.2,0.44,0.06,0.5,Atl,47.25363489,82,230,122.1,78.8
345,Manu Ginobili,SG,40,65,20,41.6,21.5,0.168,131,0.84,271,0.506,192,0.333,8.9,578.5,2.2,2.5,0.66,0.25,1.62,San,55.55662262,78,205,103.6,98.8
346,Marc Gasol,C,33,73,33,68.7,25.7,0.142,337,0.834,713,0.456,320,0.341,17.2,1255.6,8.1,4.2,0.74,1.4,2.67,Mem,53.14574021,85,255,104.2,105
347,Marcin Gortat,C,33,82,25.3,52.7,15.5,0.135,163,0.675,560,0.518,,,8.4,688.8,7.6,1.8,0.49,0.74,1.21,Was,54.51782435,83,240,112.1,101.8
348,Marco Belinelli,SG,31,80,24.35,50.72916667,20.71,0.10075,163,0.908116564,369,0.509642276,395,0.376870886,12.17,973.6,1.9,1.86,0.81,0.151,1.1765,Phi,58.24917436,77,210,109,112.1
349,Marcus Georges-Hunt,PF,30,2,2.9,6,7.8,0,,,,,,,0,0,0,0,0,0,0,Dal,0,77,226,110.3,101.7
350,Marcus Morris,SF,28,54,26.7,55.6,23,0.087,154,0.805,377,0.467,234,0.368,13.6,734.4,5.4,1.3,0.65,0.22,1.2,Bos,54.09865048,81,235,106,99.6
351,Marcus Paige,PF,32,3,3.9,8.2,14.7,0,,,,,,,0.7,2.1,1.3,0,0,0,0,Nor,26.25,72,164,95.9,112.6
352,Marcus Smart,PG,23,54,29.9,62.3,19.4,0.184,133,0.729,266,0.429,249,0.301,10.2,550.8,3.5,4.8,1.31,0.43,2.39,Bos,48.01924955,76,220,97.3,99.2
353,Mario Chalmers,PG,31,66,21.5,44.9,19.6,0.188,138,0.855,252,0.456,191,0.277,7.7,508.2,2.4,3,1.2,0.21,1.77,Mem,50.4446915,74,190,96.6,100.6
354,Mario Hezonja,SF,22,75,22.1,46,19.9,0.115,105,0.819,350,0.523,267,0.337,9.6,720,3.7,1.4,1.08,0.4,1.15,Orl,54.28226779,80,218,102.8,104.1
355,Markel Brown,PF,22,25,11.1,23.1,14,0.101,,,,,50,0.28,3.3,82.5,2.2,0.5,0.24,0.12,0.36,Den,51.38266069,75,190,74.7,91.5
356,Markelle Fultz,PG,29,23,7.6,15.8,5.2,0.335,,,,,,,0.8,18.4,1.3,1.1,0.17,0.09,0.3,Cha,66.28242075,76,200,96,99.9
357,Markieff Morris,PF,28,73,27,56.2,19.5,0.146,128,0.82,480,0.529,207,0.367,11.5,839.5,5.6,1.9,0.78,0.51,1.74,Was,56.46962277,82,245,105.2,99.6
358,Marquese Chriss,PF,20,72,21.2,44.2,18.2,0.164,158,0.608,287,0.509,190,0.295,7.7,554.4,5.5,1.2,0.71,0.97,1.49,Pho,50.72092513,82,240,95.4,99.8
359,Marquis Teague,C,20,1,3.7,7.7,23.9,0,,,,,,,2,2,0,0,1,0,0,Min,50,74,189,83.3,108.7
360,Marreese Speights,C,30,52,13,27,26.9,0.097,55,0.727,116,0.448,233,0.369,7.7,400.4,2.6,0.8,0.15,0.42,0.77,Orl,53.64415863,82,255,101.2,97.1
361,Marshall Plumlee,SG,25,18,6,12.4,14.6,0.257,,,,,,,1.1,19.8,0.6,0.7,0.17,0.11,0.5,Bos,38.13559322,84,250,129.3,91.6
362,MarShon Brooks,C,33,1,14.5,30.2,11.8,0.258,,,,,,,3,3,1,2,1,0,1,Cle,52.08333333,77,200,117.5,112.8
363,Marvin Williams,PF,31,78,25.7,53.6,14.8,0.097,123,0.829,258,0.512,305,0.413,9.5,741,4.7,1.2,0.72,0.49,0.85,Cha,60.03694581,81,237,118,104.8
364,Mason Plumlee,C,27,74,19.5,40.5,16.7,0.189,180,0.456,367,0.602,,,7.1,525.4,5.4,1.9,0.66,1.09,1.41,Den,58.74329159,83,255,111.4,98.8
365,Matt Costello,SF,29,12,4.9,10.2,21.7,0.101,,,,,,,1.9,22.8,0.8,0.2,0.08,0,0.25,Okc,42.66467066,82,240,101.4,79.4
366,Matt Williams Jr.,PG,27,10,7,14.58333333,17.38,0.111,,,,,,,1.68,16.8,0.3,0.98,0,0,0.302,Nor,35,77,210,,
367,Matthew Dellavedova,PG,23,14,4.7,9.8,10.9,0.062,,,,,,,0.5,7,0.3,0.4,0.14,0.07,0.07,Cle,23.02631579,76,198,104.7,106.8
368,Maurice Harkless,SF,24,59,21.4,44.6,12.6,0.11,59,0.712,179,0.547,118,0.415,6.5,383.5,2.7,0.9,0.81,0.73,0.68,Por,59.37267773,81,220,116.7,101.9
369,Maxi Kleber,F,26,72,16.8,34.9,13.8,0.082,59,0.746,181,0.613,128,0.313,5.4,388.8,3.3,0.7,0.36,0.65,0.42,Dal,58.03678051,83,220,117.3,102.9
370,Meyers Leonard,G,27,14,9.9,20.6,12,0.079,,,,,,,2.3,32.2,1.1,0.9,0.36,0,0.21,Tor,46.15825688,85,255,129.3,92.2
371,Michael Beasley,SF,29,74,22.3,46.5,26.9,0.14,159,0.78,720,0.521,86,0.395,13.2,976.8,5.6,1.7,0.49,0.58,1.93,Nyk,55.75597059,81,235,103.6,104
372,Michael Carter-Williams,PG,26,52,16.1,33.4,16.6,0.162,89,0.82,170,0.365,59,0.237,4.6,239.2,2.7,2.2,0.85,0.44,1,Cha,44.60023866,78,190,97.7,97.5
373,Michael Kidd-Gilchrist,SF,24,74,25,52.1,16.2,0.078,171,0.684,558,0.505,,,9.2,680.8,4.1,1,0.69,0.43,0.73,Cha,53.58604622,79,232,109.5,103.4
374,Mike Conley,PG,30,12,31.1,64.8,25.9,0.084,66,0.803,91,0.44,77,0.312,17.1,205.2,2.3,4.1,1,0.25,1.5,Mem,52.07064555,73,175,108.1,110.4
375,Mike James,PG,27,36,19.07777778,39.74537037,25.08888889,0.118666667,84,0.762,223,0.435112108,98,0.265265306,9.355555556,336.8,2.522222222,3.544444444,0.774444444,0.195555556,1.361111111,Nor,47.0443625,73,195,99.7,109.3
376,Mike Muscala,C,26,53,20,41.7,15.7,0.11,62,0.919,145,0.559,167,0.371,7.6,402.8,4.3,1,0.58,0.51,0.79,Atl,59.36099976,83,240,115.5,105.3
377,Mike Scott,PF,29,76,18.5,38.6,20,0.124,76,0.658,361,0.582,163,0.405,8.8,668.8,3.3,1.1,0.3,0.13,1.04,Was,59.98851894,80,237,109.2,101.8
378,Miles Plumlee,C,29,55,16.7,34.8,12.8,0.234,60,0.45,180,0.583,,,4.3,236.5,4.1,0.8,0.31,0.55,1.15,Atl,57.29166667,83,249,102,104.7
379,Milos Teodosic,PG,30,45,25.2,52.5,18.2,0.203,46,0.848,128,0.492,232,0.379,9.5,427.5,2.8,4.6,0.51,0.11,2.16,Lac,56.21449611,77,196,106.8,105.7
380,Milton Doyle,SG,24,2,4,8.3,16.6,0.667,,,,,,,0,0,1,0,0,0,1,Det,0,76,180,80.8,102.3
381,Mindaugas Kuzminskas,PF,22,20,16.3,34,19,0.085,,,,,79,0.354,6.7,134,3.2,1.3,0.25,0.8,0.6,Nyk,51.60197166,81,215,,
382,Mirza Teletovic,SF,32,1,13.1,27.3,9.7,0.333,,,,,,,2,2,0,1,1,0,1,Lal,50,81,242,113.1,105.5
383,Monte Morris,SF,24,15,8.4,17.5,12.1,0.144,,,,,,,2.5,37.5,1.1,0.2,0.07,0.13,0.33,Tor,63.00403226,75,175,150.9,106.1
384,Montrezl Harrell,PF,24,76,17,35.4,23.8,0.095,222,0.626,541,0.641,,,11,836,4,1,0.47,0.68,0.89,Lac,64.73795069,80,240,124.1,101.3
385,Myke Henry,PF,25,4,5,10.3,16.3,0,,,,,,,2,8,2.5,0,0.25,0,0,Cha,53.76344086,78,210,91.3,105.9
386,Myles Turner,C,21,65,28.2,58.8,20,0.116,206,0.777,482,0.519,157,0.357,12.7,825.5,6.4,1.3,0.55,1.83,1.48,Ind,56.56899293,83,255,110.3,100.3
387,Nate Wolters,SG,23,42,5.3,11.1,12.1,0.049,,,,,,,1.4,58.8,0.4,0.2,0.14,0,0.07,Min,50.48076923,76,190,,
388,Naz Mitrou-Long,PG,24,5,5.6,11.7,23,0,,,,,,,2.4,12,0.8,0.6,0,0,0,Cha,40.32258065,76,218,,
389,Nemanja Bjelica,PF,29,67,20.5,42.6,14.3,0.117,45,0.8,188,0.505,183,0.415,6.8,455.6,4.1,1.3,0.75,0.24,0.78,Min,58.29068577,82,230,114.2,102
390,Nene,C,35,52,14.6,30.4,18.9,0.117,107,0.636,237,0.574,,,6.5,338,3.4,0.9,0.54,0.27,0.73,Hou,59.07438479,83,250,117.9,91.2
391,Nerlens Noel,SG,26,4,7.9,16.4,12.6,0.222,,,,,,,1.3,5.2,1.3,0.5,0,0,0.5,Hou,37.14285714,83,220,109.8,93.2
392,Nick Collison,PG,24,3,24.6,51.3,12.9,0.142,,,,,,,3.7,11.1,2,4.3,1.33,0,1,Mem,30.49450549,82,255,105.4,102
393,Nick Young,SG,32,80,17.4,36.3,17.6,0.072,65,0.862,162,0.481,326,0.377,7.3,584,1.6,0.5,0.48,0.09,0.5,Gol,56.52342238,79,210,106.2,107.1
394,Nicolas Batum,SG,29,64,31,64.5,18.3,0.156,130,0.831,376,0.473,274,0.336,11.6,742.4,4.8,5.5,1.02,0.36,2.05,Cha,52.48868778,80,200,107.4,107.1
395,Nicolas Brussino,C,25,8,6.5,13.5,11.4,0.23,,,,,,,1.8,14.4,2.1,0.3,0,0.13,0.38,Mil,71.71314741,80,195,,
396,Nigel Hayes,SF,24,4,8.1,16.8,6.9,0.2,,,,,,,1,4,2.3,0.5,0.5,0.5,0.25,San,50,79,254,116.7,117.4
397,Nik Stauskas,SG,24,3,3.8,7.9,27.6,0.143,,,,,,,1.7,5.1,0.3,0,0,0,0.33,Mia,42.5,78,205,51.5,102.3
398,Nikola Jokic,PF,22,75,32.6,67.9,24.2,0.154,313,0.85,729,0.539,280,0.396,18.5,1387.5,10.7,6.1,1.2,0.81,2.79,Den,60.4986396,82,250,120.7,101.5
399,Nikola Mirotic,PF,26,55,27.19090909,56.64772727,23.57272727,0.078,137,0.81749635,325,0.526132308,358,0.377273743,15.6,858,7.381818182,1.490909091,0.801818182,0.710909091,1.147272727,Nor,57.71714562,82,238,116.9,104.9
400,Nikola Vucevic,C,27,57,29.5,61.5,25.9,0.111,94,0.819,636,0.527,204,0.314,16.5,940.5,9.2,3.4,0.98,1.11,1.93,Orl,53.35504221,84,260,105.1,101.3
401,Noah Vonleh,PF,22,54,16.18888889,33.72685185,14.06666667,0.110666667,58,0.6205,168,0.5,66,0.303,4.883333333,263.7,5.8,0.633333333,0.351111111,0.314444444,0.570555556,Chi,50.80533292,81,245,113.1,97.7
402,Norman Powell,SG,24,70,15.2,31.6,18.9,0.144,39,0.821,188,0.516,186,0.285,5.5,385,1.7,1.3,0.53,0.23,0.94,Tor,49.21259843,76,215,94.5,99.8
403,OG Anunoby,SF,20,74,20,41.7,12.4,0.108,62,0.629,149,0.604,197,0.371,5.9,436.6,2.5,0.7,0.7,0.19,0.61,Tor,58.4815688,80,235,113,101.8
404,Okaro White,PG,24,10,12.5,25.9,18.3,0.038,,,,,,,3.4,34,1.8,1,0.6,0.2,0.2,Bro,33.65003959,80,215,119.9,104.6
405,Omari Johnson,SF,28,1,1.9,4,46,0,,,,,,,0,0,0,0,0,0,0,Nyk,0,81,220,108.4,108.3
406,Omer Asik,PF,32,10,15.9,33.2,18.1,0.109,,,,,45,0.467,7.1,71,2.3,1,0.4,0.1,0.7,Mil,62.28070175,84,255,85.7,98.3
407,Omri Casspi,SF,29,53,14,29.2,16.3,0.135,69,0.725,185,0.595,,,5.7,302.1,3.8,1,0.34,0.36,0.7,Gol,63.63751264,81,225,117.5,99.9
408,Otto Porter Jr.,SF,24,77,31.6,65.8,18.4,0.074,128,0.828,572,0.537,313,0.441,14.7,1131.9,6.4,2,1.51,0.53,0.97,Was,60.12301874,80,198,119.9,104.1
409,Pascal Siakam,PF,23,81,20.7,43.2,15.7,0.111,87,0.621,366,0.612,132,0.22,7.3,591.3,4.5,2,0.77,0.52,0.83,Tor,55.12978295,81,230,113.3,98.3
410,Pat Connaughton,SG,25,82,18.1,37.8,13.4,0.095,44,0.841,180,0.506,210,0.352,5.4,442.8,2,1.1,0.28,0.27,0.52,Por,54.08442447,77,210,110.5,103.7
411,Patrick Beverley,PG,22,3,8.4,17.6,13.6,0.127,,,,,,,3.3,9.9,0.7,2.3,1,0,0.33,Den,71.94767442,73,185,101.9,102.8
412,Patrick McCaw,SG,22,57,16.9,35.1,12.8,0.146,34,0.765,145,0.503,80,0.238,4,228,1.4,1.4,0.75,0.18,0.72,Gol,47.50791799,79,185,96.5,106.5
